Index;Número do Contrato;Vigência;Contratado;CPF/CNPJ;CEP;Email;Telefone;Objeto;Órgão superior;Órgão subordinado;Unidade gestora contratante;Modalidade de contratação;Processo de contratação;Fundamento Legal;Data de assinatura;Data de publicação;Situação;Valor inicial do contrato;Valor final do contrato;Licitação
1;00001/2024;25/01/2024 A 25/01/2044;ETEC EMPRESA TECNICA DE ENGENHARIA E COMERCIO LTDA;05.856.869/0001-56;66617630;CONTABILIDADE@ETECENGENHARIA.COM;91 32572644 91 32574809;OBJETO: CESSÃO DE USO SOB REGIME DE CONCESSÃO DE DIREITOS REAL DE USO (CDRU), DE BENS IMÓVEIS DE DOMÍNIO DA UNIÃO, DA ÁREA DESTINADA À EXPLORAÇÃO COMERCIAL, LOCALIZADA NO LOTE B E C DO TOMBO PA.002-001 E PA.002-007 ( LOTE N°9), COM 21.642,37 M², LOCALIZADO NA RUA BETUBEL, BAIRRO DO BENGUI, MUNICÍPIO DE BELÉM, CONFORME EXPOSTO NO LAUDO DE AVALIAÇÃO DE IMÓVEL Nº 01/DTINFRA-BE/2023, COM A FINALIDADE DE CONTRAPRESTAÇÃO DE SERVIÇOS DE RECAPEAMENTO ASFÁLTICO NAS VIAS DA GUARNIÇÃO DE AERONÁUTICA DE BELÉM (GUARNAE-BE),;MINISTÉRIO DA DEFESA;COMANDO DA AERONÁUTICA;GRUPAMENTO DE APOIO DE BELEM;CONCORRÊNCIA;SEM INFORMAÇÃO;;25/01/2024;08/02/2024;NÃO SE APLICA;R$ 12.114.538,47;R$ 12.114.538,47;00002/2023
2;00001/2024;23/01/2024 A 23/01/2044;ETEC EMPRESA TECNICA DE ENGENHARIA E COMERCIO LTDA;05.856.869/0001-56;66617630;CONTABILIDADE@ETECENGENHARIA.COM;91 32572644 91 32574809;OBJETO: CESSÃO DE USO SOB REGIME DE CONCESSÃO DE DIREITOS REAL DE USO (CDRU), DE BENS IMÓVEIS DE DOMÍNIO DA UNIÃO, DA ÁREA DESTINADA À EXPLORAÇÃO COMERCIAL, LOCALIZADA NO LOTE B E C DO TOMBO PA.002-001 E PA.002-007 ( LOTE N°9), COM 21.642,37 M², LOCALIZADO NA RUA BETUBEL, BAIRRO DO BENGUI, MUNICÍPIO DE BELÉM, CONFORME EXPOSTO NO LAUDO DE AVALIAÇÃO DE IMÓVEL Nº 01/DTINFRA-BE/2023, COM A FINALIDADE DE CONTRAPRESTAÇÃO DE SERVIÇOS DE RECAPEAMENTO ASFÁLTICO NAS VIAS DA GUARNIÇÃO DE AERONÁUTICA DE BELÉM (GUARNAE-BE);MINISTÉRIO DA DEFESA;COMANDO DA AERONÁUTICA;GRUPAMENTO DE APOIO DE BELEM;CONCORRÊNCIA;SEM INFORMAÇÃO;;23/01/2024;26/01/2024;NÃO SE APLICA;R$ 12.114.538,47;R$ 12.114.538,47;00002/2023
3;00002/2023;23/01/2024 A 23/01/2044;ETEC EMPRESA TECNICA DE ENGENHARIA E COMERCIO LTDA;05.856.869/0001-56;66617630;CONTABILIDADE@ETECENGENHARIA.COM;91 32572644 91 32574809;OBJETO: CESSÃO DE USO SOB REGIME DE CONCESSÃO DE DIREITOS REAL DE USO (CDRU), DE BENS IMÓVEIS DE DOMÍNIO DA UNIÃO, DA ÁREA DESTINADA À EXPLORAÇÃO COMERCIAL, LOCALIZADA NO LOTE B E C DO TOMBO PA.002-001 E PA.002-007 ( LOTE N°9), COM 21.642,37 M², LOCALIZADO NA RUA BETUBEL, BAIRRO DO BENGUI, MUNICÍPIO DE BELÉM, CONFORME EXPOSTO NO LAUDO DE AVALIAÇÃO DE IMÓVEL Nº 01/DTINFRA-BE/2023, COM A FINALIDADE DE CONTRAPRESTAÇÃO DE SERVIÇOS DE RECAPEAMENTO ASFÁLTICO NAS VIAS DA GUARNIÇÃO DE AERONÁUTICA DE BELÉM (GUARNAE-BE);MINISTÉRIO DA DEFESA;COMANDO DA AERONÁUTICA;GRUPAMENTO DE APOIO DE BELEM;CONCORRÊNCIA;SEM INFORMAÇÃO;;23/01/2024;30/01/2024;NÃO SE APLICA;R$ 12.114.538,47;R$ 12.114.538,47;00002/2023
4;00001/2024;22/03/2024 A 21/03/2034;EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS;34.028.316/0034-71;65015460;SE-MA@CORREIOS.COM.BR;98 21072252;OBJETO: CONTRATAÇÃO DO SERVIÇO DE ENCOMENDAS NAS MODALIDADES PAC E SEDEX, PARA ATENDER À SUPERINTENDÊNCIA REGIONAL DE POLÍCIA FEDERAL NO ESTADO DO MARANHÃO;MINISTÉRIO DA JUSTIÇA E SEGURANÇA PÚBLICA;DEPARTAMENTO DE POLÍCIA FEDERAL;SUPERINTENDENCIA REGIONAL NO ESTADO DO MA;SEM INFORMAÇÃO;SEM INFORMAÇÃO;;22/03/2024;11/04/2024;NÃO SE APLICA;R$ 6.000,00;R$ 6.000,00;SEM INFORMAÇÃO
5;90004/2024;14/03/2024 A 14/03/2034;31.376.787 KALINE DRIELLY DA COSTA;31.376.787/0001-14;17054267;LYCITUDE@GMAIL.COM;14 30163287;OBJETO: CONTRATAÇÃO DE SERVIÇOS OUTSOURCING DE IMPRESSÃO - LOCAÇÃO DE EQUIPAMENTOS.;MINISTÉRIO DA DEFESA;COMANDO DO EXÉRCITO;BASE DE APOIO REGIONAL DE BAURU;DISPENSA DE LICITAÇÃO;SEM INFORMAÇÃO;;13/03/2024;14/03/2024;NÃO SE APLICA;R$ 57.480,00;R$ 57.480,00;90004/2024
6;00002/2024;06/03/2024 A 06/03/2034;COMPANHIA PAULISTA DE FORCA E LUZ;33.050.196/0001-88;13087397;BACKOFFICETRIBUTARIO@CPFL.COM.BR;19 37568020;OBJETO: FORNECIMENTO DE ENERGIA ELÉTRICA PARA A BASE DE APOIO REGIONAL DE BAURU.;MINISTÉRIO DA DEFESA;COMANDO DO EXÉRCITO;BASE DE APOIO REGIONAL DE BAURU;SEM INFORMAÇÃO;SEM INFORMAÇÃO;;05/02/2024;15/04/2024;NÃO SE APLICA;R$ 411.771,00;R$ 411.771,00;SEM INFORMAÇÃO
7;00003/2024;28/02/2024 A 28/02/2034;VICMA COMERCIO DE EQUIPAMENTOS PARA ESCRITORIO LTDA;05.630.085/0001-05;22775090;CONTABILIDADE@VICMA.COM.BR;21 22332238;OBJETO: O OBJETO DO PRESENTE INSTRUMENTO É A CONTRATAÇÃO DE SOLUÇÃO DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO DE SERVIÇO DE LOCAÇÃO DE IMPRESSORA, NAS CONDIÇÕES ESTABELECIDAS NO TERMO DE REFERÊNCIA.;MINISTÉRIO DA DEFESA;COMANDO DO EXÉRCITO;2º REGIMENTO DE CAVALARIA DE GUARDAS;DISPENSA DE LICITAÇÃO;SEM INFORMAÇÃO;;23/02/2024;29/02/2024;NÃO SE APLICA;R$ 157.977,60;R$ 157.977,60;90003/2024
8;00028/2024;22/02/2024 A 21/02/2034;CEMIG DISTRIBUICAO S.A;06.981.180/0001-16;30190924;EDIRAMOS@CEMIG.COM.BR;31 35067500;OBJETO: (I) CUSD - CONTRATO DE USO DO SISTEMA DE DISTRIBUIÇÃO, MODALIDADE TARIFÁRIA VERDE, CONSUMIDOR SUBMETIDO À LEI 14.133/21 QUE ENTRE SI CELEBRAM A CEMIG DISTRIBUIÇÃO S.A. E O LABORATORIO NACIONAL DE ASTROFISICA - LNA. (II) CCER - CONTRATO DE COMPRA DE ENERGIA REGULADA, MODALIDADE TARIFÁRIA VERDE CONSUMIDOR SUBMETIDO À LEI 14.133/21 QUE ENTRE SI CELEBRAM A CEMIG DISTRIBUIÇÃO S.A. E O LABORATORIO NACIONAL DE ASTROFISICA - LNA;MINISTÉRIO DA CIÊNCIA, TECNOLOGIA, INOVAÇÕES E COMUNICAÇÕES;MINISTÉRIO DA CIÊNCIA, TECNOLOGIA, INOVAÇÕES E COMUNICAÇÕES - UNIDADES COM VÍNCULO DIRETO;LABORATORIO NACIONAL DE ASTROFISICA;SEM INFORMAÇÃO;SEM INFORMAÇÃO;;21/02/2024;26/02/2024;NÃO SE APLICA;R$ 324.000,00;R$ 324.000,00;SEM INFORMAÇÃO
9;00002/2024;15/02/2024 A 15/02/2034;SANTO EDUARDO EMPREENDIMENTOS IMOBILIARIOS E PARTICIPACOES LTDA;19.143.058/0001-12;68378329;AUX.CONTABIL@GRUPOSFA.COM.BR;31 30789700 31 30789709;OBJETO: CESSÃO NÃO ONEROSA, POR REGIME DE COMODATO, DE ÁREA DE 40,37 M² (QUARENTA METROS E TRINTA E SETE CENTÍMETROS QUADRADO), COM A NUMERAÇÃO LOJA 104 DO SHOPPING SERRA DOURADA, CONFORME PLANTA ANEXA QUE, RUBRICADA PELAS PARTES, PASSA A FAZER PARTE INTEGRANTE E COMPLEMENTAR DO PRESENTE INSTRUMENTO. A ÁREA SERÁ CEDIDA PARA ÚNICA E EXCLUSIVAMENTE ATENDER AS INSTALAÇÕES DO POSTO AVANÇADO DE PASSAPORTES E ATENDIMENTO AOS ESTRANGEIROS PARA USO EXCLUSIVO DO COMODATÁRIO, NÃO PODENDO SER UTILIZADA PARA OUTRA FINALIDADE S;MINISTÉRIO DA JUSTIÇA E SEGURANÇA PÚBLICA;DEPARTAMENTO DE POLÍCIA FEDERAL;SUPERINTENDENCIA REGIONAL NO ESTADO DO PA;SEM INFORMAÇÃO;SEM INFORMAÇÃO;;02/02/2024;05/02/2024;NÃO SE APLICA;R$ 16.710,10;R$ 16.710,10;SEM INFORMAÇÃO
10;00006/2024;02/02/2024 A 01/02/2034;CEMIG DISTRIBUICAO S.A;06.981.180/0001-16;30190924;EDIRAMOS@CEMIG.COM.BR;31 35067500;OBJETO: FORNECIMENTO DE ENERGIA ELÉTRICA PARA O IFMG - CAMPUS ITABIRITO;MINISTÉRIO DA EDUCAÇÃO;INSTITUTO FEDERAL DE MINAS GERAIS;INST.FED.DE EDUC.,CIENC.E TEC.DE MINAS GERAIS;DISPENSA DE LICITAÇÃO;SEM INFORMAÇÃO;;26/01/2024;02/02/2024;NÃO SE APLICA;R$ 28.572,00;R$ 28.572,00;00376/2023
